text,Actual Class,Predicted Class
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",Sports,Sci/Tech
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",World,Sci/Tech
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",Sci/Tech,Sports
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of quot;affiliated quot; species also at risk do not figure in calculations.",Sci/Tech,Business
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,Sci/Tech,Sports
"Campbell 9 Pct. Profit #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",Business,Sci/Tech
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education quot;old fashioned quot; and quot;out of time.",World,Sci/Tech
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",Business,Sports
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",Sci/Tech,Business
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,Business,World
"NCAA Wrong To Close Book On Williams Top-ranked and defending co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player",Sports,World
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",Business,World
"Big merger could box Qwest in Qwest Communications may not be immediately affected by a Sprint-Nextel merger, but its options could become more limited. At one time, Qwest and Sprint were viewed as possible merger partners.",Business,Sci/Tech
"Ukrainian opposition makes gains KIEV -- The Ukrainian parliament voted yesterday to dismiss the government headed by the declared winner of a disputed presidential vote, Prime Minister Viktor Yanukovych, handing the opposition a victory in its campaign to overturn national election results.",World,Sci/Tech
