text,Actual Class,Predicted Class
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",World,Sci/Tech
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,Business,World
"Clouds darken PeopleSoft conference SAN FRANCISCO -- PeopleSoft Inc. is trying to create a party-like atmosphere at its annual customer conference, but this week's gathering may feel more like a wake with rival Oracle Corp.'s \$7.7 billion takeover bid looming larger than ever.",Business,Sci/Tech
"Report: Amount of fine-particle pollution drops significantly LOS ANGELES - Concentrations of one of the most dangerous air pollutants have declined in most of the country in the last five years, especially in Southern California and the Southeast, according to a report released by the US Environmental Protection",Sci/Tech,World
"Google #39;s New PC Search Tool Poses Risks NEW YORK Oct. 18, 2004 - People who use public or workplace computers for e-mail, instant messaging and Web searching have a new privacy risk to worry about: Google #39;s free new tool that indexes a PC #39;s contents for quickly locating data.",Business,Sci/Tech
"At Last, Success on the Road for Lions The Detroit Lions went three full seasons without winning an away game, setting an NFL record for road futility. They ended that ignominious streak Sunday in their first opportunity of the season, beating the Chicago Bears 20-16 at Soldier Field...",World,Sports
"Stocks Finish Up, Apple Provides a Lift NEW YORK (Reuters) - U.S. stocks rose on Monday as a higher price target for shares of Apple Computer Inc. AAPL.O prompted enthusiasm for technology stocks and a rally in crude oil stalled.",Business,Sci/Tech
"Thailand Shows No Easy War Against Wildlife Crime (Reuters) Reuters - With an AK-47 assault rifle slung over\his shoulder, Sompong Prajobjan roamed one of Thailand's lush\national parks for more than a decade.",Sci/Tech,World
Boston archbishop reveals anguish of closings BOSTON Boston #39;s Archbishop is telling catholics that the church #39;s financial footing is quot;much worse than people realize.,Sports,Business
Megawati kicks off 36th ASEAN economic meeting JAKARTA (Agencies): President Megawati Soekarnoputri opened high-level economic talks between members of the Association of Southeast Asian Nations (ASEAN) on Friday with a warning to ASEAN leaders that they must stay the course on their agreed,Business,World
"Barrichello Wins Chinese Grand Prix SHANGHAI, China - Rubens Barrichello won the inaugural Chinese Grand Prix on Sunday, taking advantage of Formula One champion Michael Schumacher #39;s disastrous weekend and outlasting runner-up Jenson Button by just over a second.",Sports,World
"PM Hails Successful Launch Of Agni II NEW DELHI, AUG 29: Prime Minister Manmohan Singh on Sunday congratulated the scientists and engineers for the successful launch of the Agni II missile.",World,Sci/Tech
"Opportunity Rings (Forbes.com) Forbes.com - This past summer 25,000 consumers, aged 18 to 24, received short text messages on their cell phones alerting them to numbers on 225 million bottle caps of Snapple iced tea, pink lemonade and the like. People holding a winning number, announced by text message and traditional media, landed overseas trips and walk-on parts on TV shows.",Sci/Tech,Business
US edge out Brazil for gold The United States beat Brazil 2-1 in extra time to win the women's Olympic football tournament.,World,Sports
Panel Urges N.Y. to Pay \$14 Billion More for City Schools Court-appointed referees recommended the state pay an additional \$14 billion over four years to improve New York City schools.,World,Sports
Oil Companies In Nigeria Say They Won #39;t Give In To Threats Major oil companies operating in Nigeria #39;s oil-rich southern region say they will not give in to threats of attacks on their facilities and employees by militias.,World,Business
Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.,World,Sports
Plutonium: rising terror threat The radioactive element could be used to make weapons just as dangerous as enriched uranium bombs.,World,Sci/Tech
"American Economist Expected to Win Nobel (AP) AP - Americans have dominated the annual Nobel Memorial Prize in Economic Sciences five years running, and it may not surprise Nobel watchers if the trend continues.",Business,World
"The C.E.O. Vanishes, and Other Mysteries Why did PeopleSoft, in the midst of a takeover fight with Oracle, fire its chief executive and president? Who knows? And that's a problem.",Sci/Tech,Business
"Motorola Quarterly Earnings Rise Motorola Inc., the world's No. 2 maker of cell phones, on Tuesday said its quarterly profit\more than tripled, as sales rose 26 percent, driven in part by a host of new handset models and cost controls.",Sci/Tech,Business
Toile Gets A Makeover The traditional pattern shakes its fussy image as designers give it a new look,Business,Sci/Tech
"World briefs LONDON - A man wielding a machete and a knife attacked two security guards at the building housing the headquarters of the British domestic intelligence service MI5 on Friday, police said.",Business,World
US Bells Do Video on Path Blazed by Small Telcos The three largest US local telephone corporations made a splash this summer with plans to sell video services on their voice and data lines in a few years.,Business,Sci/Tech
